Item,ER Suggestion,Label,New Label
6,Den Klienten vergessen und weitermachen,other,accept
2,Direkter Umzug,sitcon,
9,streichle Katze,dist,
5,Gelassen bleiben - Uni ist nicht mein Leben,reapp,
7,ich arbeite doppelt so viel um den Zeitplan einzuhalten,sitcon,
7,sich an Autor*innen d. Zwischenberichts wenden: Ärger kommunizieren,expr,
7,Ich lerne aus der Situation,reapp,
5,"Ich rede mir ein, dass dies nur die anfängliche Nervosität ist",reapp,
7,schauen wo das Problem liegt,info,
5,"Ich rede mit Freunden/Familie darüber & frage, ob sie ähnliche Erfahrungen gemacht haben",info,
3,Ich lebe mein Leben normal weiter,other,accept
7,Das nächste mal mit zuverlässigen Partnern zusammenarbeiten,reapp,
1,"Mit Kollegen reden, dass die Kommunikation in Zukunft besser wird",reapp,
4,ich suche mir ein neues Hobby,withdr,
1,Ihn konstruktiv darauf ansprechen,sitcon,
8,Mein einem Hund spielen,dist,
2,Mit Freundin reden,social-supp,
7,Die Situation hinnehmen wie sie ist,other,accept
6,weiter machen,other,accept
7,Zwischenbericht versuchen zu korrigieren,sitcon,
3,Ich lese Bücher über Bewältigungsstrategien,self-en,
5,mich nicht mit anderen vergleichen,self-en,
7,Ich tue alles um Ich erstelle einen neuen Plan wie ich meine Arbeit trotzdem bestmöglich fertigstellen kann,sitcon,
4,Offen nach ihrer Meinung +. Begründung dafür zu (er)fragen,info,
5,Lernen,sitcon,
4,in besagter Situation den Ärger visuell bündeln (z.B. in geballter Faust und loslassen > Mentalfreiheit),expr,
7,"Dafür sorgen, dass Mangel trotzdem irgendwo dokumentiert wird",sitcon,
6,erstmal darüber schlafen,dist,
4,Ich rede mit dem Schiedsrichter darüber.,info,
5,"Die jüngeren Studenten fragen, ob man gemeinsam lernen kann",instr-supp,
4,sie das nächste mal ebenso verärgern,other,revenge
2,"ich ziehe auf Dauer an den Ort, (kein hin- & herfliegen)",sitcon,
5,Ich vermeide Kontakt zu ihnen,suppress,
6,versuchen beim Nächsten besser zu sein,reapp,
9,Ich reflektiere alleine über die Vorkommnisse (Tagebuch),other,reflect
4,Konfrontiere Mitspieler wieso sie das behaupten.,info,
4,Mitspieler auf ihre Aussage anreden,info,
5,mit Professoren darüber reden,instr-supp,
8,Planung mit Freunden besprechen,instr-supp,
9,herausfinden warum er nicht kommt,info,
8,Die Wohnung gründlich putzen,sitcon,
6,nächstes Mal mehr mit Klient kommunizieren vornehmen,reapp,
3,weinen,expr,
7,Ich rede mit dem Ersteller dieses Zwischenberichts. (offensichtlich nicht ich?),sitcon,
2,"Partner/beste Freunden bitten, mitzukommen",instr-supp,
8,versuchen mich auf sie zu freuen,reapp,
1,"Ich akzeptiere, dass ich den Zeitplan auch nicht einhalten kann",other,accept
6,sich selbst ablenken,dist,
9,"einen Ort ausmachen, der günstig für beide ist",sitcon,
6,"Ich analysiere, wo das Problem lag",info,
1,"Die Situation so hinnehmen, wie sie ist",other,accept
1,"Ich versuche irgendwas, dass es sich doch noch rechtzeitig ausgeht",sitcon,
8,"Ich halte eine Rede und sage, dass ich mich freue, dass alle da sind, ich aber ganz schön aufgeregt bin.",expr,
7,Mit einer Freundin darüber reden.,social-supp,
7,Ich rege mich nicht auf,suppress,
7,Fehlendes Mittel Vorgesetzten mitteilen,sitcon,
1,Den Kollegen auffordern schnellstmöglich nachzuliefern,sitcon,
1,"Anbieten, es das nächste Mal gemeinsam zu machen.",reapp,
4,Ich versuche den brodelnden Ärger während des Trainings zu nutzen,reapp,
6,für den Klient weniger Zeit einplanen,withdr,
6,an etwas Schönes denken,dist,
7,Ich schlage auf mein Hissen um Wut abzubauen,expr,
3,Ich bin so gut es geht für ihn/sie da und versuche das Beste draus zu machen und die Zeit mit ihm zu genießen.,reapp,
6,Klient als schwierig und kompliziert abstempeln,reapp,
7,Die für den Zwischenbericht verantwortliche Person zur Rede stellen,info,
6,mit dem Klienten sprechen,info,
5,Sport,dist,
4,Meditieren,relax,
1,Ich werde nicht mehr mit ihm zusammenarbeiten,reapp,
7,versuchen das zu regeln,sitcon,
1,"Ich weise ihn darauf hin, damit es das nächste Mal nicht wieder passiert",reapp,
4,ich frage nach dem Gründen für die Annahme,info,
9,Queer Eye schauen,dist,
9,"Mit anderen Freunden etwas unternehmen, auch über Vorkommnisse im Unternehmen reden",other,accept
5,Juengere Studentinnen wissen noch nicht so genau was sie eigentlich alles NICHT wissen,self-en,
4,mit dem Team streiten,expr,
1,Ihn bitten die Information so schnell wie möglich bereitzustellen.,sitcon,
1,Die Situation der Kollegen versuchen zu verstehen,other,reflect
5,rede mit Professoren,instr-supp,
3,Auf hier & jetzt fokussieren und nicht in d,reapp,
5,"Ich warte ab, ob meine Angst überhaupt begründet ist",reapp,
5,der Sache entspannt entgegen seh & schauen was kommt,reapp,
7,"Ich versuche das Problem zu beheben, damit dies nicht noch einmal passiert.",sitcon,
9,"Ich frage ihn, weshalb er nicht mehr kommt und sage, dass mich das traurig stimmt.",expr,
4,Sport beenden (abhängig von der Realität ob man obj. gut ist oder nicht),withdr,
5,Ich wiederhole notfalls das Jahr.,reapp,
6,Beim nächsten Klienten gebe ich mir noch mehr Mühe.,reapp,
6,"beantragen, dass jemand anders den Klient übernimmt",withdr,
1,Information selbst einholen,sitcon,
6,"daran denken, dass jeder mal Probleme mit schwierigen Klienten hat",reapp,
1,Verhaltens-(NICHT Persönlichkeits-)kritik in einem Gespräch äussern,sitcon,
4,Sich Gedanken um das Problemlösen der Situation herum zu machen,sitcon,
5,Viel Lernen und gut für Prüfungen vorbereiten,sitcon,
1,"akzeptieren, dass der Zeitplan nicht eingehalten werden kann",other,accept
3,Mit anderen Verwandten darüber reden,social-supp,
3,ziehe mich zurück,expr,
2,"Ich danke an den Vertrag und daran, dass dieser wichtiger ist als meine Flugangst",reapp,
5,"Ich lasse mir von den Kollegen helfen, wenn sie sich besser auskennen.",instr-supp,
1,"ihm sagen, dass er es nicht noch einmal machen soll",reapp,
8,Ich versuche nicht krampfhaft alles perfekt zu machen,reapp,
6,Ich rede mit einem Kollegen darüber.,social-supp,
8,Ich ziehe was Schönes an,dist,
6,den Klienten an eine/n Kollegin/Kollege weitergeben,withdr,
2,ich suche nach Tipps im Internet und in Büchern,instr-supp,
1,"ich bitte den Kollegen, das nächste Mal pünktlich zu sein",reapp,
9,ihn trotzdem immer und immer wieder einladen,sitcon,
1,Dem Chef die Situation erklären,instr-supp,
4,mich beim Couch beschweren,instr-supp,
1,"Ich entspanne mich und geniesse die „freie“ Zeit, bis auch ich weiterarbeiten kann",relax,
2,"Bewusst mach, dass keine logische Angst ist",reapp,
6,Ich beende die Arbeit mit diesem Klienten,withdr,
9,Verabredung ausserhalb der Arbeit,sitcon,
6,ich gebe den Klienten ab,withdr,
5,"Ich sage mir, dass ich gut so bin wie ich bin",self-en,
3,Briefe schreiben,info,
4,beginne einen Streit mit ihr,expr,
1,"Ihn darauf ansprechen, dass mich das ärgert",expr,
5,sich in der Freizeit mit Fachliteratur auseinander setzen,sitcon,
9,Treffe Familie,social-supp,
2,Ich schaue mir Zahlen zu Verkehrstoten und Flugzeugabstürzen an und werde mir der Relevanz meiner Angst bewusst.,reapp,
2,"Mich damit trösten, dass etwas Grossartiges auf mich wartet",reapp,
9,Ich versuche Kontakt zu ihm aufzunehmen,sitcon,
3,Lernen,dist,
4,ich greife ebenfalls Mitspieler verbal an,other,revenge
4,Ich evaluiere ob solche Menschen dann überhaupt die Richtigen für mein Wohlbefinden sind,reapp,
5,mit Freunden reden,social-supp,
6,"dem Klienten die Meinung sagen, dass man sich bemüht hat",expr,
7,bei zuständiger Stelle fehlende Mittel melden,sitcon,
5,sich einen realistischen Überblick über den Stoff machen,info,
9,Ich schreibe die Vorkomnisse stattdessen in mein Tagebuch.,other,reflect
6,ich bringe mich auf andere Gedanken > lade Freunde zum Essen ein,dist,
4,"ich höre nicht auf das, was der Freund gesagt hat",suppress,
7,"Ich frage nach, warum das so ist.",info,
4,traurig sein und mir selbst Schuld geben,expr,
6,Ich denke an vergangene positive Interaktionen mit KundInnen zurück.,self-en,
9,"Ich frage ihn, wie es ihm geht",sitcon,
5,sich mehr anstrengen um mindestens genauso gut zu sein,sitcon,
9,Ich unterhalte mich mit anderen Kollegen,social-supp,
6,Gespräch mit Kleinen führen: Was kann ich besser machen?,info,
1,"wenn der Kollege nicht hören will, gehe ich zum Chef",instr-supp,
8,Ich putze die Wohnung,sitcon,
1,Chef melden,instr-supp,
9,ich suche mir eine alternative Beschäftigung am Freitag,other,accept
8,Ich bin spontan krank geworden und lade alle aus,withdr,
5,Ich rede mit Freunden,social-supp,
8,sich freuen dass man die gesamte Familie wieder sieht,reapp,
7,mit Vorgesetzten darüber reden,sitcon,
9,mich interessieren auch die Geschehnisse in der anderen Abteilung > treffen kann ja trotzdem stattfinden,sitcon,
9,Ich lasse mich auch in eine Andere Abteilung versetzen,sitcon,
1,"frage ihn, ob er eventuell viel Stress ausserhalb der Arbeit hat oder warum sein Verhalten so ist",info,
9,"Ich frage meinen Kollegen, ob alles in Ordnung bei ihm ist",info,
9,Vorkommnisse niederschreiben (Brief?),other,reflect
6,In der nächsten Zeit bin ich extra fleissig & bemüht,reapp,
9,Tagebuch über Vorkommnisse schreiben,other,reflect
1,Ich helfe ihm die Aufgabe rechtzeitig fertig zu bekommen,sitcon,
8,Ich suche das Gespräch zu meiner Mutter und erläutere ihr meine Sorgen und frage ob sie mich unterstützen kann.,instr-supp,
4,ich schaue mich nach anderen Team um,withdr,
9,mit dem anderen Kollegen darüber reden,social-supp,
3,sich ablenken,dist,
7,Ich werde flexibler,sitcon,
5,"sich erinnern, dass man vor der Auszeit auch zuerst gekommen ist",self-en,
4,Andere nach Meinung dazu fragen,info,
5,Wissen/Erfahrungen austauschen,instr-supp,
5,Ich werde aus Frust zum Alkohol greifen,subst-alc,
4,nach Verbesserungsvorschlaegen fragen,info,
8,"beten, dass alles gut geht",sitcon,
4,mit Mitspielern über ihr Verhalten & Emotionen sprechen,info,
1,"Ich versuche nachzuvollziehen, wieso er mir zu spät Bescheid gegeben hat",other,reflect
3,Musik hoeren,dist,
5,härter lernen,sitcon,
3,Rede mit Familie,social-supp,
1,Ich schlage vor zusammen zu arbeiten,sitcon,
1,sich selbst um die Information kümmern,sitcon,
1,Anfrage auf Hilfe  bei Teamkollegen Kompensation,instr-supp,
5,Es ist einfacher sich an Dinge zu erinnern als sie komplett neu zu lernen,sitcon,
8,sich nicht stressen,relax,
5,Ich gehe in die Sprechstunde eines Profs,instr-supp,
2,"Beruhigungstechniken lernen, um in der Situation entspannen zu sein",instr-supp,
7,bei Freunden auslassen,expr,
2,Ich bitte das Unternehmen um andere Optionen (von zu Hause aus arbeiten),sitcon,
6,Ich schlafe einen Nacht darüber,dist,
1,ich beruhige mich und rufe meinen Kollegen an (um ihn darauf anzusprechen),info,
3,Ich schreibe alles auf.,other,reflect
1,Kollegen unterstützen/besseres Arbeiten beibringen,sitcon,
5,"mit den jüngeren Studenten in Kontakt treten und herausfinden, ob sie wirjlich besser sind",info,
4,An mir zweifeln (kritisch hinterfragen),expr,
2,Ich spreche mit Freunden und Verwandten über das Problem,social-supp,
9,gehe shoppen,dist,
3,Für die Person beten.,sitcon,
7,Aus der Situation lernen,reapp,
7,Versuchen den Zeitplan wieder einzuholen,sitcon,
9,Ich überlege warum ich traurig bin & hinterfrage meinen Selbstwert,other,reflect
4,"MitspielerInnen um Hilfe fragen, sich zu verbessern",instr-supp,
3,Mit Freunden etwas unternehmen,dist,
6,Ablenkung,dist,
5,"Ich frage Professoren nach Tipps in Sachen Literatur, Lernen etc.",instr-supp,
5,Ich lasse mich von Freunden & Verwandten bestärken/rede mit ihnen,social-supp,
6,sich ablenken,dist,
5,"Ich versuche mich nicht mit den anderen zu vergleichen, sondern mit meinem „vergangenen Ich“",self-en,
1,"den Kollegen Vorschläge machen, wie er es in Zukunft besser machen könnte",reapp,
8,Checkliste anfertigen um sich zu beruhigen das alles da ist,sitcon,
1,Ich lenke mich mit etwas Angenehmen von dem Ärger ab.,dist,
9,Ich treffe mich mit ihm,sitcon,
7,Maule m. Kollegen ü. Verantwortl.,expr,
3,Ich rede mit Freunden und Familie über meine Trauer.,social-supp,
